Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006955~immune response	14	16.27906976744186	1.9473329791551256E-10	ENSMUSG00000018914, ENSMUSG00000024402, ENSMUSG00000019122, ENSMUSG00000027720, ENSMUSG00000034394, ENSMUSG00000024778, ENSMUSG00000034855, ENSMUSG00000035678, ENSMUSG00000041954, ENSMUSG00000020702, ENSMUSG00000000982, ENSMUSG00000024610, ENSMUSG00000029075, ENSMUSG00000019489	81	272	18082	11.490014524328249	1.7428632459459692E-7	1.7428632459459692E-7	3.0332140132927066E-7
GOTERM_BP_DIRECT	GO:0006954~inflammatory response	14	16.27906976744186	3.4136199779303324E-9	ENSMUSG00000056130, ENSMUSG00000024402, ENSMUSG00000019122, ENSMUSG00000019850, ENSMUSG00000024778, ENSMUSG00000002602, ENSMUSG00000005672, ENSMUSG00000034855, ENSMUSG00000006519, ENSMUSG00000041954, ENSMUSG00000020702, ENSMUSG00000000982, ENSMUSG00000029075, ENSMUSG00000105504	81	344	18082	9.085127763422337	3.055185186506826E-6	1.5275937600423006E-6	5.317137519167403E-6
GOTERM_BP_DIRECT	GO:0032496~response to lipopolysaccharide	11	12.790697674418606	1.5921532999492987E-8	ENSMUSG00000052684, ENSMUSG00000034855, ENSMUSG00000021025, ENSMUSG00000045573, ENSMUSG00000041954, ENSMUSG00000030790, ENSMUSG00000024402, ENSMUSG00000018341, ENSMUSG00000024778, ENSMUSG00000029075, ENSMUSG00000052837	81	197	18082	12.464874349815126	1.4249670603816433E-5	4.749912762891384E-6	2.4799765074856595E-5
GOTERM_BP_DIRECT	GO:0002376~immune system process	12	13.953488372093023	9.441835858401634E-7	ENSMUSG00000030775, ENSMUSG00000056130, ENSMUSG00000020437, ENSMUSG00000027720, ENSMUSG00000024610, ENSMUSG00000032446, ENSMUSG00000002602, ENSMUSG00000029771, ENSMUSG00000019256, ENSMUSG00000051212, ENSMUSG00000005696, ENSMUSG00000105504	81	383	18082	6.9942945556522576	8.446877585673862E-4	2.1123886300233874E-4	0.0014706732534897071
GOTERM_BP_DIRECT	GO:0010818~T cell chemotaxis	4	4.651162790697675	1.6519867785402128E-6	ENSMUSG00000034855, ENSMUSG00000018920, ENSMUSG00000000982, ENSMUSG00000051212	81	6	18082	148.8230452674897	0.001477436902012963	2.9566216094578657E-4	0.0025731439033060965
GOTERM_BP_DIRECT	GO:0032729~positive regulation of interferon-gamma production	6	6.976744186046512	3.2984894635126737E-6	ENSMUSG00000056130, ENSMUSG00000035678, ENSMUSG00000053175, ENSMUSG00000024402, ENSMUSG00000018341, ENSMUSG00000027720	81	52	18082	25.757834757834754	0.002947799620170888	4.91904465094728E-4	0.005137684099654205
GOTERM_BP_DIRECT	GO:0060326~cell chemotaxis	6	6.976744186046512	2.449318407046149E-5	ENSMUSG00000034855, ENSMUSG00000020702, ENSMUSG00000019122, ENSMUSG00000000982, ENSMUSG00000051212, ENSMUSG00000005672	81	78	18082	17.171889838556503	0.021683134638791346	0.0031267683332655283	0.03814437109568303
GOTERM_BP_DIRECT	GO:0002250~adaptive immune response	7	8.13953488372093	3.4885985468436206E-5	ENSMUSG00000030775, ENSMUSG00000020437, ENSMUSG00000027720, ENSMUSG00000024610, ENSMUSG00000032446, ENSMUSG00000051212, ENSMUSG00000005696	81	139	18082	11.242028599342747	0.03074108208125792	0.0038953311414268166	0.05432544777197457
GOTERM_BP_DIRECT	GO:0006935~chemotaxis	6	6.976744186046512	1.76859405523965E-4	ENSMUSG00000034855, ENSMUSG00000020702, ENSMUSG00000019122, ENSMUSG00000018920, ENSMUSG00000000982, ENSMUSG00000005672	81	118	18082	11.350910232266164	0.14640903792357962	0.017435453078355367	0.2751257192023515
GOTERM_BP_DIRECT	GO:0070374~positive regulation of ERK1 and ERK2 cascade	7	8.13953488372093	1.8516631415747302E-4	ENSMUSG00000052684, ENSMUSG00000020702, ENSMUSG00000019122, ENSMUSG00000024610, ENSMUSG00000000982, ENSMUSG00000037405, ENSMUSG00000051212	81	188	18082	8.311925400577882	0.15273282421086964	0.01643732788559704	0.28803066504113906
